XGYXY,ALIEN
GYXGX,SILTY
YYYYG,
GGGGG,SLATE
GYGGY,
GXGYG,STADE
XXYYG,RATHE
GGYGY,
XXYXY,DENAR
GYGGX,
XXYYY,DATER
XXXGY,UNETH
YGXYY,BLEST
YYXYG,ISTLE
XXXYX,INTRO
XYXXX,ROILY
YXGYY,REAST
GXXGX,SOUTH
GXGYY,
GGYGG,
YXYGX,RANTS
XYGGX,LOATH
GXXXX,SCION
YYXYX,TOILS
XYYGY,LEPTA
GGYYX,
XXXXY,DONER
XXXXG,IRONE
XGYGY,
YXXXY,OSIER
YYYGX,DALTS
GYYXX,SALOP
XYXYG,TUILE
YXXXX,IRONS
YGXXG,CLOSE
XXGGY,BEATH
YXGGX,BHATS
GYXYY,SMELT
YYXXX,LOUIS
GGGXY,SLAES
YXYYY,ASTER
XGGXX,FLACK
YGXGY,BLETS
XGXXX,FLOCK
GGXYX,SLIPT
YXXGG,COSTE
XYGYG,THALE
YYYGY,
YYYXX,LIMAS
XXGGX,WRATH
GYYGX,SALTO
GXGXY,SPAER
XGXGX,PLOTZ
XGGXG,GLACE
XYGXG,LOAVE
GYXXX,SOILY
GYXGG,
XGXGY,KLETT
YGYGX,
XXXYG,NITRE
XXXXX,IRONY
XXXGG,ROUTE
YGGGX,BLATS
GXGGG,SKATE
GXYXG,SCRAE
XGGGG,BLATE
YXXXG,ROUSE
GGXXY,SLYER
XXGXG,CRAPE
GYGXG,SCALE
GXGXX,SPAWN
XGGYY,
XYYXG,PARLE
GXGGY,SEATS
GYXXG,SOWLE
YGGGG,
GYYXY,SALEP
GGYXG,
GGYGX,
GXYYY,SATED
YGGXG,BLASE
GYGGG,
GGXGX,SLOTH
YXXYG,THOSE
XYXYY,TELOI
XGGXY,ELAIN
YYXGX,LOUTS
XYXGG,VOLTE
XYGXY,LEARY
YGYGG,
XXGYG,TRADE
YYGGX,
XXYXG,RANGE
GYYGG,
YGYYX,ALIST
GGXXX,SLOID
GXYYX,SITAR
GGYYG,
GGGGY,
XXXYY,DOTER
XGYGG,
YXYYX,IOTAS
XXGGG,ORATE
YXGXX,HOARS
YYYYY,TAELS
GXXYY,SPENT
XYXXY,OILED
YYGYX,LOAST
YYXGG,
XYYYY,ARTEL
GYYXG,SABLE
YGYYG,
YYYXY,ARLES
XYGXX,DRAIL
YYXXG,LOUSE
XYXGY,FELTY
YYYGG,
GXYGX,SANTO
GYXGY,
GGXGY,
XYXYX,LITHO
GGGXG,SLADE
XXYGY,RECTA
YXXGX,RIOTS
YXGYG,TSADE
YYXXY,DELOS
GGGGX,SLATY
GYGXX,SCAIL
YXGXG,PRASE
GGYXY,
XYGYY,DEALT
GXYYG,STOAE
GYXXY,SPEIL
YGYGY,
GGYYY,
XXYXX,NORIA
XGYXG,ALINE
GXXYG,STIRE
XYXGX,MILTY
YYXGY,FELTS
YYGXY,DEALS
YGXXY,FLEGS
GXXGY,SEITY
XGXXG,GLOBE
GXYXY,SANER
XXGXY,DEARY
YXXYY,REIST
GYGYG,STALE
XYGGG,
YXXYX,ROIST
YGYYY,
XGXXY,CLIED
YXGGY,BEATS
YYGYY,LEAST
YXXGY,NERTS
GYYGY,
XXYYX,ROTAN
GXXXG,SNORE
GGGYY,
XGXYG,
YXYXX,AIRNS
XYYXX,AULOI
XXGXX,CRANK
YXYXY,MARES
YXYXG,ARISE
XYYXY,ARLED
GGXXG,SLIPE
YGXXX,BLOGS
YYYXG,AISLE
XGXYY,BLENT
YXGXY,DEARS
GXGXG,SPARE
GGXYG,
XGGYG,
YGGYX,BLAST
YGGXX,CLAPS
YGGYG,
XGYYG,
XXXGX,YOUTH
YGYXY,ALEFS
XGYYX,ALOFT
GXGGX,SCATH
YGXGX,BLITS
GYXYG,STILE
XYGYX,LIART
YYGXG,LYASE
XYYGG,LATTE
YYGGG,
YXYGG,BASTE
GYGYY,
YGGGY,
XGGGX,PLATY
YGYXX,ALCOS
XYYYG,LATHE
YXGGG,
GYGXY,SEALS
GXYXX,SARIN
YYGYG,
GGGYX,SLANT
GYYYX,SALUT
YGXGG,
GXYGG,SAUTE
GXGYX,STARN
YYXYY,ISLET
GYYYG,
XGXYX,FLOUT
XGGYX,CLAPT
GYYYY,SALET
GGGYG,
XYXXG,LOUIE
YGXYX,BLIST
XXYGX,YARTO
XGYYY,ALERT
GYXYX,SMOLT
GYGYX,SHALT
GXXYX,STOUR
XGXGG,FLITE
YXYYG,TAWSE
GGYXX,SLOAN
YXGYX,ROAST
XYGGY,
XGYXX,ALOIN
YGGXY,BLAES
GXXGG,SUITE
YXYGY,ABETS
YYGGY,LEATS
GXYGY,SEPTA
XYYYX,DOTAL
XYYGX,LAITY
XGYGX,FLOTA
GXXXY,SERIN
YYYYX,LOTAS
XXGYY,REACT
YGYXG,
GGXGG,
YYGXX,LOADS
GGGXX,SLAIN
GGXYY,SLEPT
XXGYX,RIANT
XGGGY,
YGGYY,
YGXYG,
XXYGG,ACUTE
